Title,Product Url,Price,Brand,Rating,Units Sold,Product Description
1pc Wheat Straw Toothbrush Adult Bamboo Charcoal Soft Portable Travel Disposable Out,https://shopee.sg/1pc-Wheat-Straw-Toothbrush-Adult-Bamboo-Charcoal-Soft-Portable-Travel-Disposable-Out-i.147906073.5348227222?sp_atk=000176a9-81ed-4c5a-aeb6-a092c3e0999b&xptdk=000176a9-81ed-4c5a-aeb6-a092c3e0999b,$1.50,,4.9,5.8k,"Applicable people Universal

Specifications Various

Product category Manual.

Function Bamboo charcoal

Product name: Wheat bamboo charcoal toothbrush

Product fabric: wheat straw+bamboo charcoal soft hair

Plus velvet: sharpened brush wire

Brush handle: wheat straw+PP

Gram weight: 13g

Quantity: 1

Random color

Many people in life give enough attention to toothbrushes and often ignore the health care of teeth.Only think that the teeth and velvet are standing, not rolled or rolled, and the brush handle is not broken, so continue to use it. It will not be replaced for a long time, so it can ""spoil"" the baby teeth.I don't know how old it is.

Serious consequences of use!Living teeth not only need to replace toothbrushes regularly, but also carefully"
Korea Lip Sleeping Mask Night Sleep Moistened Lip Balm Bleaching Cream Lips Care-3g,https://shopee.sg/Korea-Lip-Sleeping-Mask-Night-Sleep-Moistened-Lip-Balm-Bleaching-Cream-Lips-Care-3g-i.159830232.12411136647?sp_atk=b8ca7009-3886-4724-83f6-bc5d58718d4a&xptdk=b8ca7009-3886-4724-83f6-bc5d58718d4a,$0.99,,4.8,3.1k,"❤100% brand new! ! !
❤ 100% genuine guarantee! ! !
❤ The latest, most fashionable, high quality, low price, suitable for all people who pursue beauty.
❤Our store is updated daily, please follow us.
❤Surprise! Surprise!

how to use

step 1
Before going to bed at night, use the built-in spatula to apply an appropriate amount on lips.
※Efficacy: Melt stubborn dead skin cells from lips all night to provide sufficient moisture for lips.

Step 2
The next morning, gently wipe your lips with a tissue or cotton pad.
※Efficacy: Make lips smooth and elastic

#lip #lips #lipcare #lipbalm #liptreatment #kosmetikmurah #lipmask "
Ryo Hair Loss Care Shampoo,https://shopee.sg/Ryo-Hair-Loss-Care-Shampoo-i.285317779.3155404206?sp_atk=65d1332f-0a69-4ed0-9766-b994aa2847ac&xptdk=65d1332f-0a69-4ed0-9766-b994aa2847ac,$9.49 - $18.78,Ryo,5.0,12.5k,"1. All products are 100% authentic.
2. All products are imported directly from korea

Ryo Deep Cleansing & Cooling Shampoo 550ml
Ryo Deep Cleansing & Cooling Conditioner 550ml
Ryo Strengthen & Volume Shampoo 550ml
Ryo Strengthen & Volume Conditioner 550ml
Ryo Damage Care & Nourishing Shampoo 550ml
Ryo Damage Care & Nourishing Conditioner 550ml

Hair Loss Care Series
RYO Hair Loss Care Shampoo (For Oily Scalp) 400ml
RYO Hair Loss Care Shampoo (For Normal Scalp) 400ml
RYO Hair Loss Care Shampoo (For Sensitive Scalp) 400ml
RYO Hair Loss Care Shampoo (For Weak Hair) 400ml
RYO Hair Loss Care Shampoo (For Dandruff) 400ml

RYO Hair Loss Expert Care Shampoo (For Oily Scalp) New 400ml
RYO Hair Loss Expert Care Shampoo (For Dry Scalp) New  400ml
RYO Hair Loss Expert Care Shampoo (For Sensitive Scalp) New 400ml
RYO Hair Loss Expert Care Shampoo (For Weak Hair) New 400ml
RYO Hair Loss Expert Care Shampoo (For Dandruff) New 400ml

Local Seller "
70g Underarm / Knee / Leg / Private Parts Skin Whitening Cream,https://shopee.sg/70g-Underarm-Knee-Leg-Private-Parts-Skin-Whitening-Cream-i.424294869.6387440703?sp_atk=00b85ba0-504e-41ca-b33c-847a68fd0ff4&xptdk=00b85ba0-504e-41ca-b33c-847a68fd0ff4,$3.39,,4.7,13.5k,"70g Underarm / Knee / Leg / Private Parts Skin Whitening massage Cream

Take an appropriate amount of cream and apply it on the desired area, gently massage for a few minutes, deep cleansing, locking in nutrients and moisture, creating a smooth and moisturizing skin, it is very effective for the dark and rough skin of the joints.
Effective in 28 days (it is recommended to buy at least 2 bottles)
Specifications:
Product Category: Body Lotion
Product Series: Artifacts for removing black joints
Net content: 70 (g/ml)
Cosmetic efficacy: control oil, shrink pores, hydrate, brighten skin tone, moisturize
Skin Type: General
Applicable people: general
Special purpose cosmetics: No
Shelf life: 3 years
Package Included:
1*Whitening Cream"
Mise En Scene Hello Bubble Color Hair Dye Coloring x Black Pink 19 colors,https://shopee.sg/Mise-En-Scene-Hello-Bubble-Color-Hair-Dye-Coloring-x-Black-Pink-19-colors-i.418013117.8357761484?sp_atk=e86b71b8-5772-4af1-a98d-2e52ba9c1819&xptdk=e86b71b8-5772-4af1-a98d-2e52ba9c1819,$8.50 - $9.50,Mise-En-Scene,4.9,14.7k,"🇰🇷 100% genuine products imported from Amorepacific Corporation, South Korea
🤩 Their brands include Sulwhasoo, LANEIGE, Mamonde, Etude, innisfree and more!
⚡ Ready stock in Singapore for immediate shipping or store pick up
💪 Long product expiry date at over 15 months!

❗ Some colors need bleaching (use PRIMER) first to get good and bright results
You can check it from before after pictures
After using Primer, you can dyeing another hair colour

❓How to use: 
Mix Solution 1 and Solution 3 Secret Magic Ampoule into Solution 2 Bubble Foam Color Bottle.
Shake sideways 20 times.
Apply evenly to hair.
Wait 20-30 minutes.
Wash product out of hair.
Use Hair Perfect Serum to make your hair more glowing and healthy

❓Usage by hair length:
1. Short hair (bob) : use 2/3 bottle
2. Medium hair (shoulder length): use 1 full bottle
3. Long hair (chest length): use 1.5 - 2 full bottles

🌈19 colors:
1. Primer (Pre-treatment to tone up hair colour)
2.  7A Ash Taupe Gray (New) 
3.  5A Dark Ash (New) 
4. 4B Whale Deep Blue
5. 1B Mystic Black Turn (Special Edition: Cream)
6. 3NT Dark Choco
7. 4GN Mermaid Green 
8. 5BR Deep Bordeaux Rose
9. 6A Dusty Ash
10. 6N Choco Brown
11. 7K Ash Khaki Brown
12. 7MA Metallic Ash
13. 7P Sahara Rose Pink
14. 8MG Matt Gold
15. 8O Sunset Orange
16. 9B Twinkle Blue
17. 10G Vanilla Gold
18. 11RG Rose Gold
19. 11P Ballet Pink

#hellobubble #hairdye #selfdye"
[Etude House] Drawing Eye Brow 0.25g NEW,https://shopee.sg/-Etude-House-Drawing-Eye-Brow-0.25g-NEW-i.107921853.1803323223?sp_atk=20828033-2064-4cb9-9890-bb5b03d06e04&xptdk=20828033-2064-4cb9-9890-bb5b03d06e04,$2.39,Etude House,5.0,21k,"-Feature 

This is a pencil type eyebrow that fills in between brow hair

-Option
*Old Version
#01 dark brown *old ver
#02 gray brown *old ver 
#03 Brown *old ver 
#04 dark gray *old ver 
#05 Gray *old ver 
#06 Black *old ver 
#07 bright brown *old ver

*Renewal Version
#01 dark brown *Renewal Ver
#02 gray brown *Renewal Ver
#03 Brown *Renewal Ver
#04 dark gray *Renewal Ver
#05 Gray *Renewal Ver
#06 Ash brown *Renewal Ver
#07 light brown *Renewal Ver

-Volume
0.25g

-How To Use
1. Fill in between hairs with wider surface
2. Draw brow line and delicate edges with slimmer surface."
24K Gold Crystal Collagen Eye Mask Anti Aging/Dark Circles/Puffiness/Wrinkles Moisturizing Eye Masks Gel,https://shopee.sg/24K-Gold-Crystal-Collagen-Eye-Mask-Anti-Aging-Dark-Circles-Puffiness-Wrinkles-Moisturizing-Eye-Masks-Gel-i.35676241.6030057215?sp_atk=c9f81e50-9c7e-4364-95ab-57ebdbed2475&xptdk=c9f81e50-9c7e-4364-95ab-57ebdbed2475,$0.30,,4.8,41.2k,"Item Type : Treatment & Mask
Use : Eye
Ingredient : Eye Mask
Feature : Whitening，Anti-Aging，Moisturizing，Anti-Puffiness，Dark Circle
NET WT : 1 Pairs Eye Mask

Feature:
MOISTURIZING AND PLUMPING EFFECTS OF 24K GOLD EYE PADS: Premium 24k Gold Powder Collagen Eye Patches deeply hydrate the delicate under eye area and increase the skin's elasticity, alleviate under eye bags, ameliorate dark circles, treat eye fatigue, decrease puffiness, and smooth crow's feet and fine lines with its unique blend of natural ingredients.
NATURAL INGREDIENTS SPEED UP CELL & COLLAGEN REGENERATION AND REPAIR: The central ingredients of the mask are taken from nature. These include 24k nano gold flecks, high density plant collagen, Vitamin C, Vitamin E, Provitamin B5, purified water, and hyaluronic acid. The composition of the pads is similar to that of human tissue. With high density plant collagen and transparent mask releasing technology, the ingredients are quickly absorbed by the skin, providing needed nutrients and moisture.
EASY TO USE: Wear collagen masks 2-3 times a week for approximately 30 minutes to see effects.
5 PAIRS OF EYE MASKS IN INDIVIDUALLY SEALED SCAHETS: Our masks are especially designed for refrigeration, adding a concentrated dose of cold to decrease puffiness. We recommend refrigerating them for 1 hour before applying.
 
How to use:
1) Cleanse and dry your face
2) Peel off the plastic from the eyepatch
3) Place the patches below the eye
4) USE 2-3 times a week, Wear about 30 mins
5) Remove the patches, DO NOT reuse them
 
Package Including:
1x Pairs Eye Mask"
,https://shopee.sg/Pureen-Hand-Sanitizer-150ml-i.16618662.17530054554?sp_atk=fe3bc030-0482-4aaf-a7e7-cdd4846ed0ec&xptdk=fe3bc030-0482-4aaf-a7e7-cdd4846ed0ec,,,,,
1pcs Hydrating Natural Collagen Acid Face Sleep Facial Sheet Mask whitening moisturizing facial mask,https://shopee.sg/1pcs-Hydrating-Natural-Collagen-Acid-Face-Sleep-Facial-Sheet-Mask-whitening-moisturizing-facial-mask-i.87514129.2977996003?sp_atk=73e32868-a431-445b-a330-bbb511cb4f20&xptdk=73e32868-a431-445b-a330-bbb511cb4f20,$0.25,,4.6,10.6k,"Place of Origin:Guangdong, China
Model Number:100pcs/box，this link is 0.4sgd/PCS , 2ml/PCS
Use:Face
Main Ingredient:Collagen, ALOE VERA, Vitamin C, Hyaluronic acid
Mask Form:Cream
Supply Type:OEM/ODM
Material:Cotton
Ingredient:Organic, Vitamin C, Hyaluronic acid, Herbal
Gender:Female
Feature:Moisturizer, Anti-wrinkle, Whitening, Firming, Nourishing, Lightening
Skin Type:Combination, Normal, Dry, Sensitive, OILY, All skin types
Specification:Skin Whitening Facial Mask"
Collagen Nourishing Lip Film Cute Lip Mask 8g Lips and Honey Moisturizing and Nourishing Lip Mask anti-cracking lip moisturizer student men and women to remove dead skin collagen lip film唇膜8g 防干裂淡化唇纹润唇膏学生男女去死皮骨胶原唇膜,https://shopee.sg/Collagen-Nourishing-Lip-Film-Cute-Lip-Mask-8g-Lips-and-Honey-Moisturizing-and-Nourishing-Lip-Mask-anti-cracking-lip-moisturizer-student-men-and-women-to-remove-dead-skin-collagen-lip-film%E5%94%87%E8%86%9C8g-%E9%98%B2%E5%B9%B2%E8%A3%82%E6%B7%A1%E5%8C%96%E5%94%87%E7%BA%B9%E6%B6%A6%E5%94%87%E8%86%8F%E5%AD%A6%E7%94%9F%E7%94%B7%E5%A5%B3%E5%8E%BB%E6%AD%BB%E7%9A%AE%E9%AA%A8%E8%83%B6%E5%8E%9F%E5%94%87%E8%86%9C-i.398162368.11601979770?sp_atk=a1bbcb8b-5297-468c-90f0-9ab663c1e9e0&xptdk=a1bbcb8b-5297-468c-90f0-9ab663c1e9e0,$0.30,,4.9,12.2k,"Collagen Nourishing Lip Film Cute Lip Mask
Lips and Honey Moisturizing and Nourishing Lip Mask
anti-cracking lip moisturizer student Lip remove dead skin collagen lip film
Pure Natural Repair
Formula, A stick to improve dry, rough, lip lines
唇情蜜语保湿滋润唇膜
功效：保湿修护，淡化唇纹，提亮唇色，清理死皮，夜间修护
主要成份：玫瑰花，皱波角叉菜，透明质酸，甘油，黄原胶等
规格：8g/片
保持期：3年
: "
"💞The Ordinary💞 Niacinamide, Hyaluronic, Caffeine, Alpha Arbutin, Retinol, Vitamin C, Buffet, Salicylic, Glycolic",https://shopee.sg/%F0%9F%92%9EThe-Ordinary%F0%9F%92%9E-Niacinamide-Hyaluronic-Caffeine-Alpha-Arbutin-Retinol-Vitamin-C-Buffet-Salicylic-Glycolic-i.13229849.6215148848?sp_atk=44ba4acb-c6dd-40ca-93a2-ac0d580990d0&xptdk=44ba4acb-c6dd-40ca-93a2-ac0d580990d0,$10.46 - $32.15,The Ordinary,5.0,34.3k,💞Authentic
,https://shopee.sg/Mamonde-Flower-Lab-Essence-Mask-Deep-Moisturizing-25ml-i.98494600.3479333551?sp_atk=05f53833-2283-499d-aeb5-75c5947a6a45&xptdk=05f53833-2283-499d-aeb5-75c5947a6a45,,,,,
Perfect Diary Waterproof Loose Powder Face Powder 12H Oil-Control Applicable To Mask With Cushion Foundation Set,https://shopee.sg/Perfect-Diary-Waterproof-Loose-Powder-Face-Powder-12H-Oil-Control-Applicable-To-Mask-With-Cushion-Foundation-Set-i.240344695.5946255000?sp_atk=936eeba2-d7f3-4c6f-bda9-3186c439d0a0&xptdk=936eeba2-d7f3-4c6f-bda9-3186c439d0a0,$14.90 - $29.90,Perfect diary,4.9,21.4k,Product Description
[MEDIHEAL] Ampoule & Esssential Mask EX 1ea,https://shopee.sg/-MEDIHEAL-Ampoule-Esssential-Mask-EX-1ea-i.288627930.7744406874?sp_atk=460f9223-128d-457d-8a1b-9166b7c92597&xptdk=460f9223-128d-457d-8a1b-9166b7c92597,$0.92 - $1.31,MEDIHEAL,5.0,25.1k,"<[MEDIHEAL] Ampoule Mask EX & Esssential Mask EX> 

<Feature>
Daily mask used every day according to skin troubles that change day by day.

<Option>
N.M.F Aquaring 1ea
P.D.F A.C Dressing 1ea
I.P.I Lightmax 1ea
Teatree Care Solution 1ea
Collagen Impact 1ea
Placenta Revital 1ea
Vita Lightbeam 1ea

<Volume>
24ml~27ml

<How To Use>
1. After cleansing, trim the skin with lotion, take out the mask sheet, and apply it in order of forehead> nose> forehead, based on both eyes.
2. Pull up the incision line on your ears and tighten the ball around the cheek.
3. Allow sufficient rest until the liquid is dry enough, then remove the mask. (Due to the nature of the mask sheet, once the liquid is sufficiently absorbed, you will feel a good fit due to the natural shrinkage of the sheet.)
4. Lightly tap the remaining liquid to absorb.

#MEDIHEAL #Ampoule #Mask #REX #Esssential #imbeautycosmetic#Wholesale #Korea #Cosmetic #Authentic"
【Ready Stock】BORN PRETTY 7ml Nail Gel Pink Red Colors Soak Off UV Gel Polish Nail Art,https://shopee.sg/%E3%80%90Ready-Stock%E3%80%91BORN-PRETTY-7ml-Nail-Gel-Pink-Red-Colors-Soak-Off-UV-Gel-Polish-Nail-Art-i.298605942.8101948720?sp_atk=52f2b4af-325a-4bbf-98e8-4c37f402d805&xptdk=52f2b4af-325a-4bbf-98e8-4c37f402d805,$1.35 - $2.86,BORN PRETTY,4.8,13.3k,"Note: The Total Volume of Each Nail Gel Order Should Be Within 60ml according to Shopee Policy，If it exceeds 60ml, we will not be able to ship it to you

Specification:
Brand: BORN PRETTY           
Type: Gel Polish
Color：As the pictures show
Quantity: 1 Bottle
Capacity: 7ml
Color：88 Colors
Long Period: About 15 Days
Suitable Lamp: UV Lamp or LED Lamp

Package Contents:
BORN PRETTY 2021 New Trend Colors Series Gel

Feature:
It made of healthy, environmental,friendly,no poisonous,pungent chemical materials.
It is quick drying with any UV Light.
Long lasting for at least 15-21days, fantastic and super bright nails for you.
This nail gel polish is easy to apply and soak off.
Allow you for professional or home nail art design. 
A professional Nail Art Gift for yourself or your girlfriend.

Professional usage:
Step 1. Clean Nails then trimming nail surface as normal manicures process. 
Step 2. Fully shake up the gel polish, it can make the gel polish color balanced. (Important)
Step 3. Apply Base gel coat first,which can make polish lasting longer, cure with UV lamp or LED lamp. (Necessary)
Step 4. Apply first layer of color gel directly, cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 5. Apply second layer of color gel and then immediately cure with UV lamp for 2 minutes or cure with LED lamp for 60 seconds.
Step 6. Coat with top coat,cured by UV lamp or LED lamp.

Remove Our UV Gel Nail Polish Step:
• Soak nails in a glass bowl filled with a small amount of acetone, or wrap each nail in cotton pad soaked with acetone for around 5 to 10 minutes. 
• Product will start to become soft and you can gently file it away or slide it off using a small wooden stick.

Warm Reminder:
1. NOTICE: Please avoid contact with skin. In case of accident or if you feel unwell, seek medical advice immediately. (show the label whenever possible)
2. Keep tightly sealed. Keep out of sunlight. Keep out of reach of children

#nails
#nail
#color gel
#nail gel
#gel polish
#pink gel
#uv gel
#uvgel 
#nailgel
#nail gel
#gelpolish
#soak off gel
#soak off nail gel
#nail gel polish
#base gel
#top coat
#Soak Off UV Gel
#Nail Art"
SOMEBYMI Real Care Mask Line (1 ea) (gimmick),https://shopee.sg/SOMEBYMI-Real-Care-Mask-Line-(1-ea)-(gimmick)-i.93906301.9744481908?sp_atk=56a7f040-91e9-4e28-a4aa-a3b7443a58ec&xptdk=56a7f040-91e9-4e28-a4aa-a3b7443a58ec,$1.40,SOME BY MI,5.0,4.6k,"😄Made with Vegan Certified Sheet😄
It's Real :: Real Mask
Real Calming care
✔️Real Calming care → Teatree, CICA
✔️Real Moisture & Nutrition care → Aloe, Honey, Hyaluron
✔️Real Brightening care → Glutathione, Vitamin
✔️Real Pore & Barrier care → Super Matcha, Snail

💧Fully contained in one sheet, Real essence💧
A sheet, full of real essence!
It contains enough amount of essence to be used on areas where need moisture such as the face, neck, and clavicle.
* Based on the test result taken within the company / Individual differences exist

🎈Lightly attached! without any bumps 🎈
A thin and soft sheet mask does not feel
heavy even after being attached on the skin.
* Based on the test result taken within the company / Individual differences exist

🍀SOME BY MI :: Real Mask🍀
✔️Made with vegan certified sheet
It uses 100 % plant-based cellulose sheet that is biodegradable and is not combined with any chemical fabric.
✔️Clear cell H sheet
Clear cell H sheet, made without the drawback of getting loose from its thinness spreads well at once. 
✔️Closely attaching the essence, Hole type sheet
Tiny holes are filled with essence to deliver the skin with active ingredients effectively.
✔️Skin low irritation test completed Free of 20 types of worrisome ingredients for skin
Mask sheet that can be used on sensitive skin with comfort feeling without having to worry about skin irritation.
* A clinical test result of Korea Institute of Dermatological Sciences <SOME BY MI Real CICA Calming Care Mask Pack / 9 types> 

✅Real Teatree Calming Care Mask
#Skin stress care
#Moisture calming
Make a clean skin and quickly calm 
skin problem through a mask
contained with real teatree.
🌟Recommend🌟
- Problematic skin / Moisture lacking, oily skin / Greasy skin covered in oil

✅Real Cica Calming Care Mask
#Skin calming
#Streghtening barrier
Make a strong skin that does not easily turn sensitive and calm angry skin through a mask contained with real Cica.
🌟Recommend🌟
- Problematic skin / Stressed-out skin / Skin with excess amount of oil

✅Real Aloe Soothing Care Mask
#Boosting moisture
#Providing nutrients
Calm stressed-out skin caused by external environment and fill in the moisture through a mask contained with real Aloe to make a healthy skin.
🌟Recommend🌟
- Tired skin from external stimuli / Skin that needs calming / Dry Skin

✅Real Honey Luminous Care Mask
#Luminous skin
#Providing nutrients
Fill your skin with full moisture and nutrients and make dewy skin through a mask contained with real honey.
🌟Recommend🌟
- Dry skin / Rough and tired skin / Skin that needs a luminous glow

✅Real Hyaluron Hydra Care Mask
#Boosting moisture
#Moisture care
Provide moisture into dry, dehydrated skin
and make a moisturized skin texture through a mask formulated with real Hyaluron.
🌟Recommend🌟
- Dry skin / Skin that needs oil-moisture balance / Rough and flaky skin

✅Real Glutathione Brightening Care Mask
#Recharging vitality
#Brightening
Vitalize the dull skin through a mask, 
contained with real Glutathione, 
and make a dewy, translucent looking-complexion.
🌟Recommend🌟
- Dull skin / Skin that needs vitality / Skin that wishes to erase the defects

✅Real Vitamin Brightening Care Mask
#Clear skin
#Luminous care
Revitalize the tired skin and take care of your skin into a clean and clear complexion through a mask contained with real vitamins.
🌟Recommend🌟
- Tired and restless skin / Skin with spotty face concern / Dull skin

✅Real Super Matcha Pore Care Mask
#Sebum care
#Pore tightening
Firm your weak pores and take care of
oily sebum through a mask contained
with real Matcha.
🌟Recommend🌟
- Skin with large pores / Skin concerned about excess sebum / Oily dehydrated skin

✅Real Snail Skin Barrier Care Mask
#Streghening barrier
#Calming skin
Build up the collapsed skin barrier with a mask containing real snail mucin and calm down your sensitive skin.
🌟Recommend🌟
- Repeating problematic skin / Skin that is easily irritated / Rough skin

✅Real AHA · BHA · PHA Calming Care Mask
#Exfoliation care
#Skin texture care
✔️Real - AHA / BHA / PHA
Gently clear out the impurities such as unnecessary dead skin cells, blackheads, whiteheads.
* Information above is limited to the characteristic of raw material
🌟Recommend🌟
- Flaky skin with dead skin cells / Skin with blackheads concern / Rough and dry skin

☄️How To Use☄️
1) After cleansing, refine the skin texture with toner. Remove the sheet mask from its packaging and attach along the facial line. 
2) Remove the mask after 10~20 minutes, and gently pat the leftover essence until fully absorbed.

☑️ Content : 20g * 1ea / 10ea


✈️✈️✈️ The products you ordered will be shipped directly from the SOME BY MI headquater of Korea. ✈️✈️✈️

#somebymiofficial #somebymi #mask #sheetmask #maskpack #teatree #cica #aloe #honey # hyaluron #glutathione #vitamin #matcha #snail #kbeauty"
"Dove Body Wash, 1L",https://shopee.sg/Dove-Body-Wash-1L-i.323430152.4860445363?sp_atk=d9a0077f-de0e-4ecd-98ba-38e822d66ad0&xptdk=d9a0077f-de0e-4ecd-98ba-38e822d66ad0,$4.95 - $5.65,Dove,4.9,12.9k,Price For 1 Bottle
【Y&T Home】1Pcs-Stainless Nose Hair Trimmers Steel Round Nose Hair Trimmers Pointed,https://shopee.sg/%E3%80%90Y-T-Home%E3%80%911Pcs-Stainless-Nose-Hair-Trimmers-Steel-Round-Nose-Hair-Trimmers-Pointed-i.60325104.14981760647?sp_atk=d06de031-afcf-4499-b110-6321735c9ddc&xptdk=d06de031-afcf-4499-b110-6321735c9ddc,$1.79,,5.0,189,"Welcome to 【Y&T Home】 Store！
if have some problem.When Receive the goods
Can tell us.we happy to help you！

Material: Others
Style: Others

Package Includes: 1 Pc


Note:

1. Real color may slightly different from pictures due to computer screen's resolution, brightness, contrast, etc. Hoping for your understanding.
2. Please remark the variation (size/color/model) you want when you place an order. If you forgot to remark, kindly chat with us and let us know your choice. Have a nice shopping day ^^"
24pcs Acrylic Nails Fake Nails Set with Glue False Nails Long Nail Fake Nails with Design Art Party DIY COD,https://shopee.sg/24pcs-Acrylic-Nails-Fake-Nails-Set-with-Glue-False-Nails-Long-Nail-Fake-Nails-with-Design-Art-Party-DIY-COD-i.566133253.11076542797?sp_atk=07629a32-16d0-4a2d-83f0-da05d98cba8d&xptdk=07629a32-16d0-4a2d-83f0-da05d98cba8d,$0.99 - $1.99,,4.8,2.8k,"Tips:  It will be shipped immediately after placing the order, and will arrive within 5 - 8days.
 Dropship/Reseller/Wholesale are welcome!
 Follow us for more happening deals!
 No Receipt / Tag in all parcels

Packing: 1. Complete set of 24 pieces
2. 12pcs jelly glue or 1pc 2g glue are sent randomly
              


Feature: 
️100% Brand new.
️For your professional nail extension. 
️Perfect choice for your nail fashion.
️Easy to use, precise, perfect decoration and long lasting.
️Suitable for use with gel, acrylic or fiberglass applications.
️Different sizes for you to choose, suitable for most people.
️Can add nail art decorations on the nails and design your own style and pattern.
️For professional salon or home use.

1.*Occasions: Special for wedding bride, party,theme party,salon display,clothes match in daily life.
     Last up to at least 5 days and can be reused.Acrylic-infused technology for durable wear.

2.*Remark: 
****Due to manual measurement, please allow 0.05 cm errors.
****Meanwhile,the color might be a little different with differrent screen display resolution. hope you donot mind.
****If the size of your nails are bigger than others, you can choose long false nails in our store.

3.*Application: 
1).File the sides and cuticle area for an accurate fit with manicure stick;
2).Clean nails of any polish oil with acetone-based polish remover;
3).Select the correct size nails for each finger;
4).Apply glue to nails;
5).Apply thin layer of glue to natural nails;
6).Starting at cuticle, press on & hold for 5 seconds;
7).File and shape your new nails if needed.

4.*Remove Tips:
Put your nails in warm water for 2 minutes and nail sticker can be removed easier. 
Do not remove it abruptly and it may cause harm to your nail surface.



#Nails #falsenails #fakenails #marbling #french
#manicure #tips #nail #nailart #pressonnails
#women #lady #stickers #decor #acrylic #salon"
"[COSRX OFFICIAL] Low pH Good Morning Gel Cleanser 150ml, BHA 0.5%, Tea Tree Leaf Oil 0.5%, Daily Mild Cleanser for Sensitive Skin 20ml/50ml/150ml/mini duo kit",https://shopee.sg/-COSRX-OFFICIAL-Low-pH-Good-Morning-Gel-Cleanser-150ml-BHA-0.5-Tea-Tree-Leaf-Oil-0.5-Daily-Mild-Cleanser-for-Sensitive-Skin-20ml-50ml-150ml-mini-duo-kit-i.116704504.1933124589?sp_atk=0a15d81d-c65c-45f2-b9ee-736ccc9ea9d8&xptdk=0a15d81d-c65c-45f2-b9ee-736ccc9ea9d8,$2.70 - $10.40,COSRX,5.0,13.4k,The products you ordered will be shipped directly from the COSRX headquarters of Korea.✈️
"[COSRX OFFICIAL] Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator, Blackhead Power Liquid, Willow Bark Water 65%, Daily Blackhead Treatment for Enlarged Pore",https://shopee.sg/-COSRX-OFFICIAL-Perfecting-2-BHA-(Salicylic-Acid)-Liquid-Exfoliator-Blackhead-Power-Liquid-Willow-Bark-Water-65-Daily-Blackhead-Treatment-for-Enlarged-Pore-i.116704504.3737038595?sp_atk=8e387231-14fa-45d5-a2ca-5b914d958bec&xptdk=8e387231-14fa-45d5-a2ca-5b914d958bec,$10.96 - $18.90,COSRX,4.9,3.5k,Perfecting 2% BHA (Salicylic Acid) Liquid Exfoliator
Extra Soft Bristle Nano Adult Toothbrush - Tongue Cleaner - Toothpaste Tube Squeezer - Tooth Brush,https://shopee.sg/Extra-Soft-Bristle-Nano-Adult-Toothbrush-Tongue-Cleaner-Toothpaste-Tube-Squeezer-Tooth-Brush-i.15618985.7013719055?sp_atk=65b96a87-9bd5-4527-b7ab-3863c7c7c4d2&xptdk=65b96a87-9bd5-4527-b7ab-3863c7c7c4d2,$0.29 - $1.29,,4.8,4.3k,"[ If there is a Minimum Order Quantity, feel free to mix and match the different options ]
[ If Seller Store Pickup option is chosen, please proceed to our warehouse for collection ]

***Each Qty Order is for 1 Piece***
***Minimum Order Quantity of 8***


Super Soft Bristle Nano Adult Toothbrush
【Black】
【White】

● Are you still using a REGULAR TOOTHBRUSH? Our ultra-soft Toothbrush with More than 20,000 fine and soft bristles for deep cleaning, specially designed for sensitive teeth and gum.

● 80 μm BRUSHING AND DEEP CLEANING: The slender design of the brush is soft and flexible, which can easily go between the teeth remove plaque and tartar while cleaning the teeth without damaging the surface enamel layer.

● Tongue Cleaner: Comes with a Tongue cleaner at the back of the toothbrush. Perfect for cleaning your tongue while brushing your teeth. 

● Great for our elders: With the extra soft bristles, as we get older, our gums start becoming more sensitive and thus you may have a greater risk of gum bleeding.

● Great for Pregnant Women: Use our finest, extra soft bristles for gentle effective brushing for expecting, nursing, and postpartum moms with tender and bleeding gums. Helps to prevent pregnancy gingivitis and dental caries and acid due to hyperemesis gravidarum – from teeth, gums, tongue, and all crevices of the mouth

----------------------------------------------------------------------------------

Color Toothbrush
● 【Random Color】

【Features】
● Premium quality ultra-soft bristles which gently clean teeth and gums
● Thin head design to reach every corner of your mouth
● Flexing sides to remove more plaque along the gum line
● Massages the gums for a complete oral care routine
● Soft rubber handle provides comfortable brushing
● Have a flexible neck that reduces the pressure on your teeth during brushing

----------------------------------------------------------------------------------

Toothpaste Tube Squeezer
【Pink】
【Green】

● Our tube squeezer is cute yet functional. You can use it to squeeze the last drop out of any tube you have that is less than 5cm in width.

● Reusable and sturdy. Easy to operate."
"[SG] Relaxing Bath Bombs ✨ Ready Stock Made in SG 🇸🇬 Moisturizing, Great Quality Fun Fizzy Bathbombs",https://shopee.sg/-SG-Relaxing-Bath-Bombs-%E2%9C%A8-Ready-Stock-Made-in-SG-%F0%9F%87%B8%F0%9F%87%AC-Moisturizing-Great-Quality-Fun-Fizzy-Bathbombs-i.399973166.8322951445?sp_atk=18e302d5-0293-41de-8e3c-15d1c1c32a30&xptdk=18e302d5-0293-41de-8e3c-15d1c1c32a30,$13.99 - $14.99,SLICKLABS,5.0,12.9k,
